"Step","phirho1 - reward","phirho1 - reward__MIN","phirho1 - reward__MAX","rho-8 - reward","rho-8 - reward__MIN","rho-8 - reward__MAX","rhophi8 - reward","rhophi8 - reward__MIN","rhophi8 - reward__MAX","rhophi10 - reward","rhophi10 - reward__MIN","rhophi10 - reward__MAX","phi10 - reward","phi10 - reward__MIN","phi10 - reward__MAX","Threefish-phi1 - reward","Threefish-phi1 - reward__MIN","Threefish-phi1 - reward__MAX","Threefish-phi8 - reward","Threefish-phi8 - reward__MIN","Threefish-phi8 - reward__MAX"
"552000","-0.33","-0.33","-0.33","-0.75","-0.75","-0.75","-0.52","-0.52","-0.52","-0.66","-0.66","-0.66","-0.56","-0.56","-0.56","-0.71","-0.71","-0.71","-0.19","-0.19","-0.19"
"554000","-0.3","-0.3","-0.3","0","0","0","-0.71","-0.71","-0.71","-0.04","-0.04","-0.04","0.19","0.19","0.19","-0.91","-0.91","-0.91","-0.67","-0.67","-0.67"
"556000","-0.29","-0.29","-0.29","0.06","0.06","0.06","-0.67","-0.67","-0.67","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","-0.11","-0.11","-0.11"
"558000","-0.75","-0.75","-0.75","-0.59","-0.59","-0.59","-0.17","-0.17","-0.17","-0.54","-0.54","-0.54","0.75","0.75","0.75","-0.89","-0.89","-0.89","0.15","0.15","0.15"
"560000","-0.75","-0.75","-0.75","-0.71","-0.71","-0.71","-0.46","-0.46","-0.46","-0.06","-0.06","-0.06","-0.11","-0.11","-0.11","-0.53","-0.53","-0.53","0.67","0.67","0.67"
"562000","-0.71","-0.71","-0.71","-0.3","-0.3","-0.3","-0.54","-0.54","-0.54","-0.58","-0.58","-0.58","-0.04","-0.04","-0.04","-0.67","-0.67","-0.67","0.95","0.95","0.95"
"564000","-0.72","-0.72","-0.72","-0.25","-0.25","-0.25","-0.6","-0.6","-0.6","-0.19","-0.19","-0.19","-0.29","-0.29","-0.29","-0.46","-0.46","-0.46","-0.08","-0.08","-0.08"
"566000","-0.54","-0.54","-0.54","-0.58","-0.58","-0.58","-0.65","-0.65","-0.65","-0.75","-0.75","-0.75","0.56","0.56","0.56","-0.72","-0.72","-0.72","-0.46","-0.46","-0.46"
"568000","-0.75","-0.75","-0.75","-0.38","-0.38","-0.38","-0.46","-0.46","-0.46","-0.57","-0.57","-0.57","0.25","0.25","0.25","-0.82","-0.82","-0.82","0.38","0.38","0.38"
"570000","-0.47","-0.47","-0.47","-0.3","-0.3","-0.3","-0.39","-0.39","-0.39","-0.25","-0.25","-0.25","0.62","0.62","0.62","-0.84","-0.84","-0.84","-0.27","-0.27","-0.27"
"572000","-0.25","-0.25","-0.25","-0.6","-0.6","-0.6","-0.4","-0.4","-0.4","-0.46","-0.46","-0.46","0.11","0.11","0.11","-0.75","-0.75","-0.75","-0.55","-0.55","-0.55"
"574000","-0.5","-0.5","-0.5","-0.25","-0.25","-0.25","0","0","0","-0.2","-0.2","-0.2","0.9","0.9","0.9","-0.72","-0.72","-0.72","0.8","0.8","0.8"
"576000","-0.88","-0.88","-0.88","-0.42","-0.42","-0.42","-0.72","-0.72","-0.72","-0.5","-0.5","-0.5","0.4","0.4","0.4","-0.91","-0.91","-0.91","0.05","0.05","0.05"
"578000","-0.71","-0.71","-0.71","-0.19","-0.19","-0.19","-0.25","-0.25","-0.25","0","0","0","-0.38","-0.38","-0.38","-0.93","-0.93","-0.93","-0.11","-0.11","-0.11"
"580000","-0.78","-0.78","-0.78","-0.44","-0.44","-0.44","-0.54","-0.54","-0.54","-0.55","-0.55","-0.55","0.56","0.56","0.56","-0.83","-0.83","-0.83","-0.04","-0.04","-0.04"
"582000","-0.84","-0.84","-0.84","-0.79","-0.79","-0.79","-0.7","-0.7","-0.7","-0.78","-0.78","-0.78","-0.25","-0.25","-0.25","-0.88","-0.88","-0.88","-0.06","-0.06","-0.06"
"584000","-0.42","-0.42","-0.42","-0.81","-0.81","-0.81","-0.43","-0.43","-0.43","-0.25","-0.25","-0.25","-0.1","-0.1","-0.1","-0.5","-0.5","-0.5","0.17","0.17","0.17"
"586000","-0.75","-0.75","-0.75","-0.29","-0.29","-0.29","-0.33","-0.33","-0.33","-0.43","-0.43","-0.43","-0.08","-0.08","-0.08","-0.91","-0.91","-0.91","0.38","0.38","0.38"
"588000","-0.53","-0.53","-0.53","-0.5","-0.5","-0.5","-0.71","-0.71","-0.71","-0.54","-0.54","-0.54","-0.31","-0.31","-0.31","-0.33","-0.33","-0.33","0.17","0.17","0.17"
"590000","-0.54","-0.54","-0.54","-0.54","-0.54","-0.54","-0.71","-0.71","-0.71","-0.5","-0.5","-0.5","-0.18","-0.18","-0.18","-0.59","-0.59","-0.59","0.46","0.46","0.46"
"592000","-0.25","-0.25","-0.25","-0.12","-0.12","-0.12","-0.7","-0.7","-0.7","-0.29","-0.29","-0.29","-0.25","-0.25","-0.25","-0.71","-0.71","-0.71","0.81","0.81","0.81"
"594000","-0.93","-0.93","-0.93","-0.39","-0.39","-0.39","-0.72","-0.72","-0.72","0.38","0.38","0.38","0.4","0.4","0.4","-0.69","-0.69","-0.69","-0.31","-0.31","-0.31"
"596000","-0.62","-0.62","-0.62","-0.62","-0.62","-0.62","-0.33","-0.33","-0.33","-0.12","-0.12","-0.12","-0.25","-0.25","-0.25","-0.59","-0.59","-0.59","0.25","0.25","0.25"
"598000","-0.35","-0.35","-0.35","-0.82","-0.82","-0.82","-0.88","-0.88","-0.88","-0.33","-0.33","-0.33","0.17","0.17","0.17","-0.92","-0.92","-0.92","0.62","0.62","0.62"
"600000","-0.5","-0.5","-0.5","-0.86","-0.86","-0.86","-0.46","-0.46","-0.46","-0.29","-0.29","-0.29","-0.2","-0.2","-0.2","-0.92","-0.92","-0.92","0.15","0.15","0.15"
"602000","-0.25","-0.25","-0.25","-0.12","-0.12","-0.12","-0.79","-0.79","-0.79","-0.08","-0.08","-0.08","-0.04","-0.04","-0.04","-0.72","-0.72","-0.72","0.3","0.3","0.3"
"604000","-0.38","-0.38","-0.38","-0.25","-0.25","-0.25","-0.56","-0.56","-0.56","-0.54","-0.54","-0.54","-0.53","-0.53","-0.53","-0.88","-0.88","-0.88","0.38","0.38","0.38"
"606000","-0.45","-0.45","-0.45","-0.12","-0.12","-0.12","-0.12","-0.12","-0.12","-0.73","-0.73","-0.73","0.08","0.08","0.08","-0.5","-0.5","-0.5","0.07","0.07","0.07"
"608000","-0.55","-0.55","-0.55","-0.25","-0.25","-0.25","-0.05","-0.05","-0.05","0.38","0.38","0.38","0.3","0.3","0.3","-0.42","-0.42","-0.42","0.71","0.71","0.71"
"610000","-0.65","-0.65","-0.65","-0.39","-0.39","-0.39","-0.46","-0.46","-0.46","-0.66","-0.66","-0.66","-0.32","-0.32","-0.32","-0.75","-0.75","-0.75","-0.12","-0.12","-0.12"
"612000","-0.4","-0.4","-0.4","-0.42","-0.42","-0.42","-0.5","-0.5","-0.5","-0.25","-0.25","-0.25","-0.06","-0.06","-0.06","-0.61","-0.61","-0.61","-0.07","-0.07","-0.07"
"614000","-0.46","-0.46","-0.46","-0.1","-0.1","-0.1","-0.46","-0.46","-0.46","-0.25","-0.25","-0.25","-0.36","-0.36","-0.36","-0.85","-0.85","-0.85","0.55","0.55","0.55"
"616000","-0.17","-0.17","-0.17","-0.71","-0.71","-0.71","-0.64","-0.64","-0.64","-0.56","-0.56","-0.56","0","0","0","-0.53","-0.53","-0.53","0.55","0.55","0.55"
"618000","-0.56","-0.56","-0.56","0.05","0.05","0.05","-0.53","-0.53","-0.53","0.12","0.12","0.12","0.04","0.04","0.04","-0.61","-0.61","-0.61","0.68","0.68","0.68"
"620000","-0.75","-0.75","-0.75","-0.46","-0.46","-0.46","-0.6","-0.6","-0.6","-0.57","-0.57","-0.57","-0.12","-0.12","-0.12","-0.62","-0.62","-0.62","-0.25","-0.25","-0.25"
"622000","-0.46","-0.46","-0.46","-0.35","-0.35","-0.35","-0.57","-0.57","-0.57","-0.58","-0.58","-0.58","0","0","0","-0.84","-0.84","-0.84","0.42","0.42","0.42"
"624000","-0.61","-0.61","-0.61","-0.25","-0.25","-0.25","-0.16","-0.16","-0.16","-0.19","-0.19","-0.19","0.69","0.69","0.69","-0.83","-0.83","-0.83","-0.25","-0.25","-0.25"
"626000","-0.68","-0.68","-0.68","-0.61","-0.61","-0.61","-0.46","-0.46","-0.46","-0.43","-0.43","-0.43","0.21","0.21","0.21","-0.56","-0.56","-0.56","0.04","0.04","0.04"
"628000","-0.25","-0.25","-0.25","-0.38","-0.38","-0.38","0.05","0.05","0.05","-0.15","-0.15","-0.15","0.15","0.15","0.15","-0.77","-0.77","-0.77","0.12","0.12","0.12"
"630000","-0.61","-0.61","-0.61","-0.39","-0.39","-0.39","0.19","0.19","0.19","-0.22","-0.22","-0.22","-0.1","-0.1","-0.1","-0.2","-0.2","-0.2","-0.39","-0.39","-0.39"
"632000","-0.46","-0.46","-0.46","-0.5","-0.5","-0.5","-0.69","-0.69","-0.69","-0.17","-0.17","-0.17","0.75","0.75","0.75","-0.78","-0.78","-0.78","0","0","0"
"634000","-0.61","-0.61","-0.61","-0.64","-0.64","-0.64","0.5","0.5","0.5","-0.44","-0.44","-0.44","-0.25","-0.25","-0.25","-0.86","-0.86","-0.86","0.25","0.25","0.25"
"636000","-0.81","-0.81","-0.81","-0.78","-0.78","-0.78","-0.5","-0.5","-0.5","-0.43","-0.43","-0.43","0.15","0.15","0.15","-0.72","-0.72","-0.72","0.03","0.03","0.03"
"638000","-0.68","-0.68","-0.68","-0.42","-0.42","-0.42","-0.64","-0.64","-0.64","0.05","0.05","0.05","0","0","0","-0.92","-0.92","-0.92","0.38","0.38","0.38"
"640000","-0.59","-0.59","-0.59","-0.57","-0.57","-0.57","-0.53","-0.53","-0.53","-0.38","-0.38","-0.38","0.18","0.18","0.18","-0.92","-0.92","-0.92","0.94","0.94","0.94"
"642000","-0.85","-0.85","-0.85","-0.71","-0.71","-0.71","-0.34","-0.34","-0.34","-0.21","-0.21","-0.21","0.15","0.15","0.15","-0.75","-0.75","-0.75","0.09","0.09","0.09"
"644000","-0.46","-0.46","-0.46","-0.5","-0.5","-0.5","-0.72","-0.72","-0.72","-0.55","-0.55","-0.55","-0.2","-0.2","-0.2","-0.5","-0.5","-0.5","0.12","0.12","0.12"
"646000","-0.75","-0.75","-0.75","-0.33","-0.33","-0.33","0","0","0","-0.21","-0.21","-0.21","-0.09","-0.09","-0.09","-0.82","-0.82","-0.82","0.28","0.28","0.28"
"648000","-0.68","-0.68","-0.68","-0.35","-0.35","-0.35","-0.3","-0.3","-0.3","0.12","0.12","0.12","0.5","0.5","0.5","-0.46","-0.46","-0.46","-0.33","-0.33","-0.33"
"650000","-0.43","-0.43","-0.43","-0.42","-0.42","-0.42","-0.33","-0.33","-0.33","-0.17","-0.17","-0.17","-0.12","-0.12","-0.12","-0.82","-0.82","-0.82","0","0","0"
"652000","-0.68","-0.68","-0.68","-0.15","-0.15","-0.15","-0.32","-0.32","-0.32","-0.72","-0.72","-0.72","-0.11","-0.11","-0.11","-0.96","-0.96","-0.96","-0.08","-0.08","-0.08"
"654000","-0.33","-0.33","-0.33","-0.15","-0.15","-0.15","-0.57","-0.57","-0.57","-0.25","-0.25","-0.25","0.04","0.04","0.04","-0.64","-0.64","-0.64","0.3","0.3","0.3"
"656000","-0.45","-0.45","-0.45","-0.68","-0.68","-0.68","-0.5","-0.5","-0.5","-0.71","-0.71","-0.71","0.25","0.25","0.25","-0.81","-0.81","-0.81","0.12","0.12","0.12"
"658000","-0.62","-0.62","-0.62","-0.15","-0.15","-0.15","-0.25","-0.25","-0.25","0.31","0.31","0.31","0.45","0.45","0.45","-0.5","-0.5","-0.5","-0.07","-0.07","-0.07"
"660000","-0.62","-0.62","-0.62","-0.5","-0.5","-0.5","-0.32","-0.32","-0.32","-0.25","-0.25","-0.25","-0.09","-0.09","-0.09","-0.75","-0.75","-0.75","0","0","0"
"662000","-0.47","-0.47","-0.47","0.25","0.25","0.25","-0.5","-0.5","-0.5","0","0","0","-0.2","-0.2","-0.2","-0.8","-0.8","-0.8","0.46","0.46","0.46"
"664000","-0.39","-0.39","-0.39","-0.25","-0.25","-0.25","-0.78","-0.78","-0.78","-0.61","-0.61","-0.61","0.29","0.29","0.29","-0.92","-0.92","-0.92","-0.3","-0.3","-0.3"
"666000","0","0","0","-0.62","-0.62","-0.62","-0.62","-0.62","-0.62","-0.57","-0.57","-0.57","-0.56","-0.56","-0.56","-0.94","-0.94","-0.94","0.33","0.33","0.33"
"668000","-0.18","-0.18","-0.18","0.3","0.3","0.3","-0.57","-0.57","-0.57","-0.33","-0.33","-0.33","0","0","0","-0.75","-0.75","-0.75","0.14","0.14","0.14"
"670000","-0.36","-0.36","-0.36","-0.83","-0.83","-0.83","0","0","0","0.1","0.1","0.1","-0.5","-0.5","-0.5","-0.18","-0.18","-0.18","-0.28","-0.28","-0.28"
"672000","-0.38","-0.38","-0.38","-0.15","-0.15","-0.15","-0.69","-0.69","-0.69","-0.5","-0.5","-0.5","0.05","0.05","0.05","-0.78","-0.78","-0.78","0.05","0.05","0.05"
"674000","-0.21","-0.21","-0.21","-0.42","-0.42","-0.42","-0.66","-0.66","-0.66","-0.38","-0.38","-0.38","-0.42","-0.42","-0.42","-0.81","-0.81","-0.81","-0.11","-0.11","-0.11"
"676000","-0.79","-0.79","-0.79","-0.62","-0.62","-0.62","-0.42","-0.42","-0.42","-0.25","-0.25","-0.25","0.08","0.08","0.08","-0.75","-0.75","-0.75","0.45","0.45","0.45"
"678000","-0.39","-0.39","-0.39","-0.12","-0.12","-0.12","-0.5","-0.5","-0.5","-0.32","-0.32","-0.32","0.56","0.56","0.56","-0.53","-0.53","-0.53","0.12","0.12","0.12"
"680000","-0.5","-0.5","-0.5","0.15","0.15","0.15","-0.46","-0.46","-0.46","-0.58","-0.58","-0.58","-0.17","-0.17","-0.17","-0.86","-0.86","-0.86","0.46","0.46","0.46"
"682000","-0.97","-0.97","-0.97","-0.5","-0.5","-0.5","-0.58","-0.58","-0.58","-0.21","-0.21","-0.21","0","0","0","-0.78","-0.78","-0.78","0.65","0.65","0.65"
"684000","-0.62","-0.62","-0.62","-0.25","-0.25","-0.25","-0.73","-0.73","-0.73","-0.25","-0.25","-0.25","0.03","0.03","0.03","-0.46","-0.46","-0.46","0.1","0.1","0.1"
"686000","-0.06","-0.06","-0.06","-0.33","-0.33","-0.33","-0.54","-0.54","-0.54","-0.61","-0.61","-0.61","0.81","0.81","0.81","-0.86","-0.86","-0.86","0.08","0.08","0.08"
"688000","-0.12","-0.12","-0.12","-0.46","-0.46","-0.46","-0.35","-0.35","-0.35","-0.41","-0.41","-0.41","0.45","0.45","0.45","-0.72","-0.72","-0.72","0.21","0.21","0.21"
"690000","-0.57","-0.57","-0.57","-0.31","-0.31","-0.31","-0.75","-0.75","-0.75","-0.21","-0.21","-0.21","0.62","0.62","0.62","-0.47","-0.47","-0.47","-0.08","-0.08","-0.08"
"692000","-0.81","-0.81","-0.81","-0.84","-0.84","-0.84","-0.72","-0.72","-0.72","-0.36","-0.36","-0.36","0.29","0.29","0.29","-0.81","-0.81","-0.81","1.2","1.2","1.2"
"694000","-0.59","-0.59","-0.59","","","","-0.35","-0.35","-0.35","-0.3","-0.3","-0.3","0.25","0.25","0.25","-0.82","-0.82","-0.82","-0.05","-0.05","-0.05"
"696000","-0.77","-0.77","-0.77","","","","-0.72","-0.72","-0.72","-0.42","-0.42","-0.42","-0.18","-0.18","-0.18","-0.64","-0.64","-0.64","0.71","0.71","0.71"
"698000","-0.83","-0.83","-0.83","","","","-0.1","-0.1","-0.1","-0.05","-0.05","-0.05","0.5","0.5","0.5","-0.89","-0.89","-0.89","0.07","0.07","0.07"
"700000","-0.69","-0.69","-0.69","","","","-0.75","-0.75","-0.75","-0.79","-0.79","-0.79","0.12","0.12","0.12","-0.81","-0.81","-0.81","-0.31","-0.31","-0.31"
"702000","-0.83","-0.83","-0.83","","","","-0.82","-0.82","-0.82","0.12","0.12","0.12","-0.42","-0.42","-0.42","-0.94","-0.94","-0.94","-0.21","-0.21","-0.21"
"704000","-0.5","-0.5","-0.5","","","","0","0","0","-0.1","-0.1","-0.1","0.1","0.1","0.1","-0.54","-0.54","-0.54","0.71","0.71","0.71"
"706000","-0.59","-0.59","-0.59","","","","-0.11","-0.11","-0.11","-0.54","-0.54","-0.54","0.1","0.1","0.1","-0.71","-0.71","-0.71","-0.16","-0.16","-0.16"
"708000","-0.54","-0.54","-0.54","","","","-0.21","-0.21","-0.21","-0.58","-0.58","-0.58","0.55","0.55","0.55","-0.72","-0.72","-0.72","-0.17","-0.17","-0.17"
"710000","-0.29","-0.29","-0.29","","","","-0.61","-0.61","-0.61","-0.56","-0.56","-0.56","-0.11","-0.11","-0.11","-0.54","-0.54","-0.54","0.7","0.7","0.7"
"712000","-0.35","-0.35","-0.35","","","","-0.25","-0.25","-0.25","-0.64","-0.64","-0.64","0","0","0","-0.79","-0.79","-0.79","-0.11","-0.11","-0.11"
"714000","-0.82","-0.82","-0.82","","","","-0.72","-0.72","-0.72","-0.12","-0.12","-0.12","-0.09","-0.09","-0.09","-0.75","-0.75","-0.75","0.14","0.14","0.14"
"716000","-0.47","-0.47","-0.47","","","","-0.35","-0.35","-0.35","-0.72","-0.72","-0.72","0.21","0.21","0.21","-0.82","-0.82","-0.82","0.65","0.65","0.65"
"718000","-0.12","-0.12","-0.12","","","","-0.1","-0.1","-0.1","-0.46","-0.46","-0.46","0","0","0","-0.86","-0.86","-0.86","-0.22","-0.22","-0.22"
"720000","0","0","0","","","","-0.64","-0.64","-0.64","-0.34","-0.34","-0.34","-0.3","-0.3","-0.3","-0.82","-0.82","-0.82","-0.04","-0.04","-0.04"
"722000","-0.57","-0.57","-0.57","","","","-0.61","-0.61","-0.61","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.39","-0.39","-0.39","0.15","0.15","0.15"
"724000","-0.05","-0.05","-0.05","","","","0.25","0.25","0.25","-0.75","-0.75","-0.75","-0.15","-0.15","-0.15","-0.5","-0.5","-0.5","0.29","0.29","0.29"
"726000","-0.33","-0.33","-0.33","","","","-0.82","-0.82","-0.82","-0.47","-0.47","-0.47","-0.25","-0.25","-0.25","-0.89","-0.89","-0.89","-0.06","-0.06","-0.06"
"728000","-0.38","-0.38","-0.38","","","","-0.68","-0.68","-0.68","-0.22","-0.22","-0.22","-0.21","-0.21","-0.21","-0.38","-0.38","-0.38","-0.22","-0.22","-0.22"
"730000","-0.62","-0.62","-0.62","","","","-0.7","-0.7","-0.7","-0.39","-0.39","-0.39","0.42","0.42","0.42","-0.8","-0.8","-0.8","0.12","0.12","0.12"
"732000","-0.41","-0.41","-0.41","","","","0.25","0.25","0.25","-0.42","-0.42","-0.42","0.4","0.4","0.4","-0.75","-0.75","-0.75","0.7","0.7","0.7"
"734000","-0.61","-0.61","-0.61","","","","0.12","0.12","0.12","-0.29","-0.29","-0.29","0.04","0.04","0.04","-0.69","-0.69","-0.69","0.65","0.65","0.65"
"736000","-0.29","-0.29","-0.29","","","","-0.61","-0.61","-0.61","-0.29","-0.29","-0.29","0","0","0","-0.81","-0.81","-0.81","0.04","0.04","0.04"
"738000","-0.66","-0.66","-0.66","","","","-0.1","-0.1","-0.1","-0.53","-0.53","-0.53","0.15","0.15","0.15","-0.71","-0.71","-0.71","0.04","0.04","0.04"
"740000","-0.8","-0.8","-0.8","","","","-0.14","-0.14","-0.14","-0.57","-0.57","-0.57","-0.21","-0.21","-0.21","-0.85","-0.85","-0.85","-0.44","-0.44","-0.44"
"742000","-0.79","-0.79","-0.79","","","","-0.38","-0.38","-0.38","-0.47","-0.47","-0.47","-0.47","-0.47","-0.47","-0.75","-0.75","-0.75","-0.18","-0.18","-0.18"
"744000","-0.85","-0.85","-0.85","","","","-0.71","-0.71","-0.71","0.15","0.15","0.15","-0.1","-0.1","-0.1","-0.72","-0.72","-0.72","0.5","0.5","0.5"
"746000","-0.79","-0.79","-0.79","","","","0","0","0","-0.68","-0.68","-0.68","-0.04","-0.04","-0.04","-0.66","-0.66","-0.66","0.5","0.5","0.5"
"748000","-0.46","-0.46","-0.46","","","","-0.55","-0.55","-0.55","-0.81","-0.81","-0.81","0.25","0.25","0.25","-0.42","-0.42","-0.42","-0.08","-0.08","-0.08"
"750000","-0.34","-0.34","-0.34","","","","-0.61","-0.61","-0.61","-0.53","-0.53","-0.53","0.81","0.81","0.81","-0.42","-0.42","-0.42","0","0","0"
"752000","-0.83","-0.83","-0.83","","","","-0.5","-0.5","-0.5","-0.35","-0.35","-0.35","0.5","0.5","0.5","-0.92","-0.92","-0.92","0.69","0.69","0.69"
"754000","-0.8","-0.8","-0.8","","","","-0.43","-0.43","-0.43","-0.72","-0.72","-0.72","0.35","0.35","0.35","-0.89","-0.89","-0.89","0.15","0.15","0.15"
"756000","-0.1","-0.1","-0.1","","","","-0.61","-0.61","-0.61","-0.21","-0.21","-0.21","0.38","0.38","0.38","-0.36","-0.36","-0.36","0","0","0"
"758000","-0.06","-0.06","-0.06","","","","-0.59","-0.59","-0.59","-0.61","-0.61","-0.61","0.43","0.43","0.43","-0.92","-0.92","-0.92","0.15","0.15","0.15"
"760000","-0.54","-0.54","-0.54","","","","-0.36","-0.36","-0.36","-0.5","-0.5","-0.5","0.2","0.2","0.2","-0.73","-0.73","-0.73","0.18","0.18","0.18"
"762000","-0.2","-0.2","-0.2","","","","-0.2","-0.2","-0.2","-0.91","-0.91","-0.91","-0.04","-0.04","-0.04","-0.57","-0.57","-0.57","0.04","0.04","0.04"
"764000","-0.56","-0.56","-0.56","","","","-0.25","-0.25","-0.25","-0.31","-0.31","-0.31","-0.57","-0.57","-0.57","-0.81","-0.81","-0.81","0.62","0.62","0.62"
"766000","-0.05","-0.05","-0.05","","","","-0.2","-0.2","-0.2","-0.21","-0.21","-0.21","-0.09","-0.09","-0.09","-0.73","-0.73","-0.73","0.33","0.33","0.33"
"768000","-0.33","-0.33","-0.33","","","","-0.3","-0.3","-0.3","-0.46","-0.46","-0.46","-0.07","-0.07","-0.07","-0.85","-0.85","-0.85","0.4","0.4","0.4"
"770000","-0.86","-0.86","-0.86","","","","-0.68","-0.68","-0.68","-0.21","-0.21","-0.21","-0.08","-0.08","-0.08","-0.83","-0.83","-0.83","-0.04","-0.04","-0.04"
"772000","-0.94","-0.94","-0.94","","","","-0.59","-0.59","-0.59","-0.78","-0.78","-0.78","0","0","0","-0.46","-0.46","-0.46","-0.21","-0.21","-0.21"
"774000","-0.68","-0.68","-0.68","","","","-0.46","-0.46","-0.46","-0.71","-0.71","-0.71","0.31","0.31","0.31","-0.91","-0.91","-0.91","0.12","0.12","0.12"
"776000","-0.64","-0.64","-0.64","","","","-0.5","-0.5","-0.5","-0.57","-0.57","-0.57","-0.08","-0.08","-0.08","-0.77","-0.77","-0.77","1.31","1.31","1.31"
"778000","-0.81","-0.81","-0.81","","","","-0.25","-0.25","-0.25","-0.32","-0.32","-0.32","-0.34","-0.34","-0.34","-0.77","-0.77","-0.77","-0.28","-0.28","-0.28"
"780000","-0.78","-0.78","-0.78","","","","-0.56","-0.56","-0.56","-0.5","-0.5","-0.5","-0.32","-0.32","-0.32","-0.75","-0.75","-0.75","0.75","0.75","0.75"
"782000","-0.25","-0.25","-0.25","","","","-0.62","-0.62","-0.62","-0.54","-0.54","-0.54","-0.11","-0.11","-0.11","-0.64","-0.64","-0.64","0.38","0.38","0.38"
"784000","-0.75","-0.75","-0.75","","","","-0.38","-0.38","-0.38","-0.43","-0.43","-0.43","-0.38","-0.38","-0.38","-1","-1","-1","-0.57","-0.57","-0.57"
"786000","-0.75","-0.75","-0.75","","","","-0.21","-0.21","-0.21","-0.5","-0.5","-0.5","0.05","0.05","0.05","-0.56","-0.56","-0.56","0","0","0"
"788000","-0.57","-0.57","-0.57","","","","-0.38","-0.38","-0.38","-0.04","-0.04","-0.04","-0.17","-0.17","-0.17","-0.88","-0.88","-0.88","-0.38","-0.38","-0.38"
"790000","-0.75","-0.75","-0.75","","","","-0.53","-0.53","-0.53","-0.82","-0.82","-0.82","0.04","0.04","0.04","-0.79","-0.79","-0.79","-0.12","-0.12","-0.12"
"792000","-0.83","-0.83","-0.83","","","","-0.2","-0.2","-0.2","-0.05","-0.05","-0.05","-0.25","-0.25","-0.25","-0.75","-0.75","-0.75","-0.19","-0.19","-0.19"
"794000","-1","-1","-1","","","","-0.64","-0.64","-0.64","-0.81","-0.81","-0.81","0.3","0.3","0.3","-0.46","-0.46","-0.46","0.29","0.29","0.29"
"796000","-0.59","-0.59","-0.59","","","","0","0","0","-0.54","-0.54","-0.54","-0.17","-0.17","-0.17","-0.95","-0.95","-0.95","0","0","0"
"798000","-0.39","-0.39","-0.39","","","","-0.82","-0.82","-0.82","-0.38","-0.38","-0.38","-0.33","-0.33","-0.33","-0.53","-0.53","-0.53","0.07","0.07","0.07"
"800000","-0.62","-0.62","-0.62","","","","-0.66","-0.66","-0.66","-0.5","-0.5","-0.5","0.1","0.1","0.1","-0.69","-0.69","-0.69","-0.04","-0.04","-0.04"
"802000","-0.66","-0.66","-0.66","","","","-0.33","-0.33","-0.33","-0.54","-0.54","-0.54","-0.11","-0.11","-0.11","-0.44","-0.44","-0.44","-0.8","-0.8","-0.8"
"804000","-0.69","-0.69","-0.69","","","","-0.35","-0.35","-0.35","-0.46","-0.46","-0.46","0","0","0","-0.77","-0.77","-0.77","0.32","0.32","0.32"
"806000","-0.79","-0.79","-0.79","","","","-0.15","-0.15","-0.15","-0.75","-0.75","-0.75","0.38","0.38","0.38","-0.72","-0.72","-0.72","-0.14","-0.14","-0.14"
"808000","-0.57","-0.57","-0.57","","","","-0.65","-0.65","-0.65","-0.15","-0.15","-0.15","0","0","0","-0.68","-0.68","-0.68","0.75","0.75","0.75"
"810000","0.25","0.25","0.25","","","","-0.65","-0.65","-0.65","-0.79","-0.79","-0.79","-0.36","-0.36","-0.36","-0.61","-0.61","-0.61","0.04","0.04","0.04"
"812000","-0.25","-0.25","-0.25","","","","-0.4","-0.4","-0.4","-0.57","-0.57","-0.57","0.25","0.25","0.25","-0.75","-0.75","-0.75","-0.16","-0.16","-0.16"
"814000","-0.66","-0.66","-0.66","","","","-0.17","-0.17","-0.17","0","0","0","0.1","0.1","0.1","-0.56","-0.56","-0.56","-0.07","-0.07","-0.07"
"816000","-0.2","-0.2","-0.2","","","","-0.55","-0.55","-0.55","-0.5","-0.5","-0.5","0.05","0.05","0.05","-0.81","-0.81","-0.81","-0.39","-0.39","-0.39"
"818000","-0.88","-0.88","-0.88","","","","0","0","0","-0.67","-0.67","-0.67","-0.55","-0.55","-0.55","-0.66","-0.66","-0.66","0.05","0.05","0.05"
"820000","-0.45","-0.45","-0.45","","","","-0.75","-0.75","-0.75","-0.6","-0.6","-0.6","0.05","0.05","0.05","-0.75","-0.75","-0.75","1.2","1.2","1.2"
"822000","-0.61","-0.61","-0.61","","","","-0.06","-0.06","-0.06","-0.12","-0.12","-0.12","0.38","0.38","0.38","-0.62","-0.62","-0.62","-0.1","-0.1","-0.1"
"824000","-0.72","-0.72","-0.72","","","","-0.25","-0.25","-0.25","-0.12","-0.12","-0.12","-0.14","-0.14","-0.14","-0.75","-0.75","-0.75","0.04","0.04","0.04"
"826000","-0.12","-0.12","-0.12","","","","-0.1","-0.1","-0.1","0.69","0.69","0.69","0.2","0.2","0.2","-0.41","-0.41","-0.41","0.5","0.5","0.5"
"828000","-0.31","-0.31","-0.31","","","","-0.04","-0.04","-0.04","0.1","0.1","0.1","0.4","0.4","0.4","-0.88","-0.88","-0.88","0.21","0.21","0.21"
